Date,Total CPI,Food and non-alcoholic beverages,"Alcoholic beverages, tobacco and narcotics",Clothing and footwear,"Housing, water, electricity, and fuel",Household goods and services,Health,Transportation,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,All items (non-food non-energy),Energy,Services,Services less housing,Housing excluding imputed rentals for housing,Actual rentals for housing,Water supply and misc. services relating to dwelling,"Electricity, gas and other fuels",Maintenance and repair of the dwelling
2009-08-01,88.95549713,81.70284000000001,63.86385,83.08928,84.85635,89.30834,93.82941,98.09597,105.7191,96.60975,91.07687,88.23931,90.71557,89.39669,98.29172,90.10544,91.94660999999999,83.49599,84.2065,81.0305,89.2172,81.96141
2009-09-01,89.03456025,81.49271,63.925909999999995,83.52571999999999,84.93278000000001,88.91145,93.82941,98.348,105.7191,96.12646,91.15171,88.31711999999999,91.20963,89.55644000000001,98.69802,90.10544,91.94660999999999,83.57298,84.28574,81.0305,89.2172,81.88954
2009-10-01,88.79842506,81.00317,63.925909999999995,83.59916,84.85635,88.75376999999999,93.82941,97.00186,105.7191,96.12646,91.15171,88.39491,91.28164,89.55644000000001,96.91275999999999,90.18583000000001,91.94660999999999,83.57298,84.36603000000001,80.74903,88.99521,81.88954
2009-11-01,88.95549713,79.7458,63.98901,84.83714,85.08561999999999,89.07021,93.9156,98.17999,105.6086,96.31957,91.15171,88.54941,92.1302,89.79553,98.69802,90.26514,92.0278,83.65105,84.52348,80.60953,89.73376999999999,81.88954
2009-12-01,89.26964126,81.00317,64.05107,84.90952,85.31387,88.99083,93.56876,98.26499,105.4972,96.22251,91.22758,88.78392,92.55447,89.95634,98.85895,90.34553000000001,92.10793000000001,83.88202,84.68301,81.45024000000001,89.88234,81.88954
2010-01-01,89.97488428,82.96021,64.17831,84.71439000000001,85.73214,88.50813000000001,94.87823,99.07007,105.302,96.48539,91.60896,89.15292,93.24129,90.17956,99.99606999999999,90.666,92.46687,84.16938,84.81021,82.04034,90.50735,82.65888000000001
2010-02-01,90.15620237,83.91318000000001,64.17831,84.62941,85.90460999999999,88.7763,94.97273,98.96906,105.302,96.58245,91.70226,89.42188,93.4285,90.36152,99.79159,90.84928000000001,92.65275,84.59444,84.98121,83.18968000000001,90.41599000000001,82.65888000000001
2010-03-01,90.33857463,84.51744000000001,64.05003,84.62941,85.99136,88.59716,94.97273,99.77214000000001,104.6745,96.48539,92.72338,88.88395,93.61794,90.36152,100.9109,90.94145999999999,92.74569,84.59444,85.06671,82.69711,90.59785,82.65888000000001
2010-04-01,90.70226498,85.8157,64.11417,84.62941,85.99136,88.68726,95.06827,100.5752,104.6745,96.58245,92.90791999999999,89.33185999999999,93.4285,90.4525,101.7253,91.12366,92.93264,84.59444,85.23770999999999,82.28601,90.69006999999999,82.74136
2010-05-01,90.7939782,85.38295,64.05003,84.79937,86.16487,89.1335,95.16277,100.7762,104.6745,96.87465,93.00121999999999,89.69196,93.80625,90.63446,101.9289,91.30588,93.11851999999999,84.76469,85.40871,82.28601,90.69006999999999,82.90748
2010-06-01,90.70226498,84.25846999999999,64.11417,85.3103,86.16487,89.22253,95.16277,100.4752,104.6745,96.58245,93.00121999999999,89.87201999999999,93.99347,90.72439,101.5217,91.30588,93.11851999999999,84.76469,85.58075,81.54653,90.69006999999999,83.0736
2010-07-01,90.88463725,84.69122,63.9859,85.39527,86.25059,88.95436,95.2583,100.9773,104.6745,98.04141,93.00121999999999,90.05096,94.37122,90.90741,101.9289,91.58026,93.39841,84.84926999999999,85.75175,81.46505,90.78143,83.15725
2010-08-01,91.34109499,86.85385,64.11417,85.39527,86.50981,89.31156,95.3528,100.7762,104.6745,98.23553000000001,93.09349,90.14098,94.46538000000001,91.08937,101.8267,91.67243,93.5843,85.1041,85.83725,81.95763000000001,91.32874,83.2409
2010-09-01,92.06847569,91.26543000000001,64.17831,85.48026,87.11501,89.4907,95.44938,99.97317,104.6745,98.23553000000001,93.09349,90.32104,94.93618000000001,91.17929000000001,102.2339,91.76354,93.5843,85.1041,86.00825,81.71072,93.24731,83.2409
2010-10-01,92.06847569,91.43921999999999,64.17831,85.39527,87.20177,89.84682,95.16277,100.1742,104.6745,97.84628000000001,93.18678,90.50109,94.74786,91.17929000000001,102.6411,91.76354,93.5843,85.27435,86.17924000000001,81.71072,93.33781,83.40701999999999
2010-11-01,91.6141263,88.49741,64.17831,84.88435,86.94151,89.93585,95.2583,100.4752,104.6745,97.65215,93.27905,90.59,95.03034,91.17929000000001,102.0303,91.94682,93.67724,85.52808,86.43678,81.87615,91.69418,83.57314000000001
2010-12-01,91.97781665,88.49741,64.11417,86.41818,87.28748,90.29305,95.2583,102.2824,104.0451,97.55408,93.27905,90.68003,95.21866999999999,91.45224,103.9631,92.03685,93.77125,85.86858000000001,86.69328,82.6144,92.06047,83.65561
2011-01-01,93.07099605,91.43921999999999,64.11417,86.50316,88.15191999999999,90.73928000000001,96.11502,104.4906,104.0451,98.23553000000001,93.74348,91.13016999999999,95.68947,91.90609,107.3203,92.49450999999999,94.23702,86.20798,86.95083000000001,83.59955,94.34277,84.07033
2011-02-01,93.7077177,93.25542,64.05003,86.58814,88.67036,91.54271999999999,96.49509,105.0927,104.0451,98.23553000000001,93.92905,92.56837,96.06611,92.26895999999999,108.2351,92.95111,94.70387,86.88788000000001,87.20732,85.73528,94.52635,84.32127
2011-03-01,94.07246223,92.99531,64.05003,86.67312,89.01634,91.98787,96.30505,107.0999,103.9413,98.72185999999999,94.20791,92.83733000000001,97.10188000000001,92.5419,110.6774,93.31766999999999,95.0767,87.22728000000001,87.72136,85.16122,94.89094,84.90211
